Sentence,Source,label
البرنامج أصبح منتهي لا يشتغل في الاندرويد,Companies,Neutral
لو سمحت هو فعلا الوايت نايتس عاملين حفله ع مرتضي منصور قدام النادي دلوق تي 😳😳😳😳,Tweet,Polite
برنامج صعب كثير ومش اتعامل معاه خالص,Companies,Neutral
طلبته لصديقتي ان شاءاله يعجبها,Shein,Neutral
إسراء عبد الفتاح.. حلقة جديدة في تشويه خصوم السيسي بأساليب هابطة! https://t.co/PEsdetkEfW,Tweet,Neutral
احنا مش محتاجين مذيع احنا عايزين مرتضى منصور ✋,Tweet,Neutral
ما حبيته مره,Shein,Neutral
تحية قلك دكتور من لبنان,Youtube,Impolite
#أخبار_قطر|كلية الشرطة تستقبل المتدربين من خريجي الجامعات المدنية #حصار_قطرhttps://t.co/3ijlnlm8ai https://t.co/SOxfgqlI6T,Tweet,Neutral
جميل جدا وراقي .,Shein,Neutral
لا يوجد تحديث بيانات الهوية وهذا سيئ جدا !!,Companies,Neutral
فرج اقعيم يحاصر مقر القيادة العامة بمنطقة الرجمة شرق مدينة بنغازي وانباء عن هروب خليفة حفتر الى جزر المالديف,Tweet,Neutral
البرنامج زي الزفت بعد التحديث .. . كل ما ادخل الرقم السري يخبرني ان الرقم خطأ علماً بأني استخدم الاهلي اون لاين كثيراً ولم يرفض رقمي السري إلا بعد التحديث #رد على تعليقي بأسرع وقت ممكن#,Companies,Impolite
قاطعو منتجات امريكا,Youtube,Neutral
اهداف محمد صلاح اليوم ويتربع على صدارة هدافين الدورى الانجليزى:,Tweet,Neutral
ولي العهد السعودى.. قول وفعل.. المساس بالمملكة خط أحمر,Tweet,Neutral
انيقه باللبس مرررررررررررررررره,Shein,Neutral
تجننن مره بس جتني مشخوفه,Shein,Neutral
#الملك_يحارب_الفساد #السعوديه #محاربة_الفساد #الملك_سلمان #محمد_بن_سلمان الحمدالله حكومتنا هي اللي انتفضت وحاربت الفساد وخائنين الامانه في اغلب الدول الشعب هم اللي ينتفضون على الحكومات والمفسدين الله يعز قادتنا وملكنا ويحفظهم ويبارك لهم في كل مافيه صلاح للبلد وشعبه🇸🇦,Tweet,Polite
#بوابة_الوفد||شاهد.. بث مباشر لجلسات اليوم الثالث لـ #منتدى_شباب_العالم https://t.co/6GixxzNn9N https://t.co/XFmN2DO7cU,Tweet,Neutral
"عسى الله يجزاكم كل خير على هالحلقه اللي صج نشكر جهودكم عليها .. دكتور نايف الله يرضى عليه فعلاً هالكلام اللي نحتاجه ف هالوقت لانه بدينا نضيع ومب فاهمين الوضع من حولنا حالياً ..( ملخصها عندنا اعظم دين ، راسم لنا مسار الحياه الصحيحه لكن علينا انه نعرف دينا اكثر .. وحياتنا بدون الاسلام لا تسوي شيء )",Youtube,Polite
#ايطاليا لا تتأهل لكأس العالم ٢٠١٨ في روسيا وتخرج من ملحق تصفيات أوروبا #كأس_العالم يفقد أحد أركانه ☹️,Tweet,Neutral
مرتضي منصور يشيد ب إداء الاهلي و يتهم الحكم ب الرشوة طب إيه ننسحب يا حاج,Tweet,Neutral
سي خاصه في نظام التحويلات,Companies,Neutral
يادكتور تحدث عن تاريخ استعباد الرومان للخليجيين والعرب,Youtube,Polite
من ٥ ايام لا تستطيع الدخول هل هناك عطل الى الان معقول,Companies,Neutral
خلاص 😂😂,Youtube,Neutral
البرنامج يظهر بالعرض ولا يمكن الاستفادة منه ياليت تجدو لنا حل,Companies,Polite
حلوه ذي طلبتها لأختي لانها بطيئة في الميكب ف صارت تنجز بسرعه الحين بسب هاذي اتمنى افدتكم لايك بليز ماتخسرون شي بس انا يفيدني,Shein,Polite
ماله فايدة خايس ما يحول داخلى الا اذا سجلت بالصراف اسم المستفيد علاش انتا مسوى تطبيق عشان كل مرة ابغى احول لاحد يقولى ما ماهو مستفيد ليش ما يخلون ادخل رقم اللى ابى احوله وخلاص ما يستاهل ولا نجمه,Companies,Impolite
